model_name,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0506130958,0.2212427321253042,0.3922927640698641,0.2178849635469692,0.3872240115763432,0.2400439543557568,0.4206743335075797,0.0339766923422991,0.0956942397642083,0.5243604548896019,0.8723812487035885
inter-0506132447,0.2632742401248418,0.4271060240009505,0.2506096172458776,0.4116603650282406,0.3341875218645262,0.5135912179822268,0.0910287392991188,0.1937912475171397,0.5420790038032317,0.8047604231487243
inter-0510002704,0.3063906508673074,0.4658600340607549,0.2917541974461404,0.4503804322457172,0.3883448436643904,0.5525352848928384,0.1406309171360479,0.2443454859998718,0.5746972433111671,0.8244140219871396
inter-0510044719,0.3030136060029617,0.4652857538912432,0.2871488776498833,0.4480931708910983,0.3918453037311325,0.5615525352848928,0.1389315154979208,0.244986224130198,0.5686046852927458,0.8218730553827007
inter-0510074430,0.3082157219871921,0.4691868984910293,0.2923554056258463,0.4529711058208467,0.3970227155598733,0.5599843178254051,0.1447562310912421,0.2502402767988723,0.5727990319242403,0.8235843186060983
inter-0511002812,0.2361604892313814,0.3975008911244009,0.2255270589201361,0.3833029921112822,0.2957004729108935,0.4769994772608468,0.0643604708623858,0.1504453130005766,0.514244173807707,0.797396805641983
inter-0516125643,0.2791129929274979,0.4388688660937067,0.2635792425443298,0.4211128226672268,0.366091438943856,0.5382906429691584,0.1248384446989505,0.2333247901582623,0.5288291176114702,0.7715722879070732
inter-0516130224,0.3066077908403842,0.461404412055923,0.2900960814289511,0.4434019511739719,0.3990621428323124,0.5622059592263461,0.1453702233061279,0.2536041519830845,0.5675945898973297,0.7977598008711886
inter-0516131103,0.2347231709948853,0.3961939086696502,0.2237870413261227,0.3811791065677076,0.2959580653738486,0.4802665969681129,0.0630454304807637,0.1483308771705004,0.5126089308169055,0.797396805641983
inter-0516134605,0.0938344506114986,0.1815715473880153,0.085888253063196,0.1693852297654536,0.1127468262756608,0.2105756358768407,0.0518669753031285,0.1139936598304975,0.112346800882365,0.2113809537399046
inter-0516222647,0.0927562919473409,0.1822250386153907,0.085934840056278,0.1704820293604814,0.1089917127199283,0.2101740294511379,0.0507438071708664,0.1094649673287183,0.1112884964275188,0.2143203675694187
inter-0531183546,0.2361604892313814,0.3975008911244009,0.2255270589201361,0.3833029921112822,0.2957004729108935,0.4769994772608468,0.0643604708623858,0.1504453130005766,0.514244173807707,0.797396805641983
inter-0531183309,0.238161587563721,0.4034417204641768,0.2241265204136744,0.3820518589346982,0.2715657989239094,0.4543507362784471,0.0075180610174394,0.0200556382221647,0.3399011780384757,0.5725578607916441
inter-0601035952,0.2355358589174946,0.3995405758643907,0.2200107305058274,0.3771303222903425,0.2724864958694297,0.4528781793842035,0.0096617440359012,0.0256194604386362,0.3351716054351388,0.5644816072600668
inter-0606022535,0.2735101187815465,0.4320765178818963,0.25341455278190883,0.40725012655379944,0.32133864192846984,0.4911646586345382,0.03064371811308712,0.06980656013456686,0.38064136375550217,0.591878085671071
