model_name,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0808114633,0.3445002548197654,0.5319814646124599,0.3366924196524516,0.5213404995257667,0.3787310229448462,0.5786331165369443,0.0683400327036767,0.1458203043568897,0.4092734107698453,0.6225552513201643
inter-0812145406,0.3445002548197654,0.5319814646124599,0.3366924196524516,0.5213404995257667,0.3787310229448462,0.5786331165369443,0.0683400327036767,0.1458203043568897,0.4092734107698453,0.6225552513201643
inter-0926014319,0.3444536264843654,0.5337043051209949,0.3374762679186287,0.5229212772684161,0.3750434555562245,0.580978782386182,0.0609569481350836,0.1317490097977902,0.410947542289259,0.6279825933893995
inter-1015230328,0.3497860330215167,0.5334468691829379,0.3371845717519045,0.5170707013892795,0.379778185620276,0.5724230254350736,0.0989109566598154,0.1936339522546419,0.4604499996698279,0.6833423703661425
inter-1023110936,0.346508109757902,0.5309913263891639,0.3330172872368769,0.514258394735362,0.3786169897581051,0.5708165997322624,0.0876497844060573,0.177330659248237,0.4606935820607464,0.6869952341542764
inter-1104222104,0.3375116306828205,0.5275654481365598,0.3264016650364856,0.5106867652848867,0.363953943832259,0.5677376171352075,0.0950956737700499,0.1940868215048198,0.4444441795827105,0.6746668188693246
inter-1105033051,0.3061700742589041,0.4961582636936116,0.2988583681711205,0.4835480060745823,0.3235723262715767,0.5261713520749666,0.0834922908794888,0.182765090250372,0.4043958811050454,0.6343997032048172
inter-1105092548,0.3495679458239873,0.5402788229236801,0.339278934727637,0.5257607289498847,0.3740563431844074,0.5748326639892904,0.1003464390632061,0.2013974251148347,0.459502503342383,0.6897634199937216
inter-0517142826,0.2330553816015701,0.4117588815398629,0.2249963771412694,0.398841329658586,0.2522362437568017,0.4425033467202142,0.1623247605860876,0.318884647732419,0.2642469052179221,0.4526982677435004
inter-0517172741,0.2330553816015701,0.4117588815398629,0.2249963771412694,0.398841329658586,0.2522362437568017,0.4425033467202142,0.1623247605860876,0.318884647732419,0.2642469052179221,0.4526982677435004
inter-0523220921,0.2453126408440802,0.4246702839716424,0.2365016001127381,0.4112436020023623,0.2662833895940743,0.4566265060240964,0.1710576025593171,0.3301416833796985,0.2780591681104596,0.466339430952313
inter-0525232551,0.2455689337855085,0.4223731632935958,0.2369852291934645,0.4098655717419427,0.2659986103506881,0.4521419009370817,0.1571949625664607,0.3010933557611438,0.2845422262086556,0.4758425844011301
inter-0526132954,0.3562865580856531,0.5347934571666204,0.3430815430134439,0.5181956240508465,0.3877152010534052,0.5742971887550201,0.1073645341514824,0.2018502943650126,0.4660890101832308,0.6816586284637995
inter-0602151428,0.3416942231887403,0.5327537724266308,0.3304499020287546,0.516986332189662,0.3684563096550805,0.570281124497992,0.08936036774774657,0.18392961117940093,0.45300167456147217,0.686624240175794
