model_name,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0615073917,0.4761751777225109,0.5554566494570056,0.4756116089139603,0.5547589173687041,0.5589159772726138,0.6578947368421053,0.0367915273356335,0.0712515489467162,0.6530837991875175,0.7504371721209093
inter-0703170501,0.4941108027439784,0.5771764286985935,0.4935158964281145,0.5766266355977774,0.5814524431704275,0.6578947368421053,0.0554522927036768,0.1078066914498141,0.6707270493602787,0.7661753684736448
inter-0704100804,0.4863894675993048,0.5885704112515577,0.4856246908748434,0.5877397383043557,0.5986707661721941,0.7105263157894737,0.0829940900182612,0.1623296158612144,0.648879902188923,0.7601798651011741
inter-0721185216,0.272000755695476,0.4213884247303661,0.2705610528159963,0.4142199650849071,0.3041694359919295,0.5815602836879432,0.2329619046323906,0.3449558344955834,0.3453520084441846,0.5651030249890399
inter-0721185145,0.2752519787908691,0.4197174540483062,0.2741182965062052,0.4131090303126488,0.3005829435981918,0.5673758865248227,0.235343391547818,0.3435611343561134,0.3500817649897268,0.5629110039456379
inter-1115153811,0.2499038334651409,0.3471061825915236,0.2559742913196359,0.3530367002273465,0.1619464700110683,0.2611764705882353,0.2703224887447768,0.3687971417229059,0.1829982119125139,0.2757281553398058
inter-1115155059,0.2892900730298033,0.3969314902020355,0.2946528986827053,0.3996427411497239,0.2115858839225791,0.3576470588235294,0.3057088387208677,0.408693926161175,0.2353427129617398,0.3579288025889968
inter-1115155912,0.2720117934042004,0.4013367765456478,0.2762633903612626,0.4030529392659954,0.2104086544357529,0.3764705882352941,0.277166837579073,0.3995633187772925,0.2550071703953468,0.4064724919093851
inter-1115153941,0.2867322870390755,0.4154640741303357,0.2910114153513095,0.4157193894121468,0.2247302349291021,0.4117647058823529,0.2910482533699495,0.4100833664152441,0.2724082150764977,0.4323624595469256
inter-1115161012,0.2942014435708743,0.4218441440072915,0.2975760306367827,0.4215654433257551,0.2453056620370723,0.4258823529411765,0.300191812311057,0.4215958713775307,0.2743890459843885,0.4220064724919093
inter-1115161105,0.2942014435708743,0.4218441440072915,0.2975760306367827,0.4215654433257551,0.2453056620370723,0.4258823529411765,0.300191812311057,0.4215958713775307,0.2743890459843885,0.4220064724919093
inter-1115171018,0.2724756352948373,0.4002734315661552,0.2763072010892781,0.3994803507632348,0.21695850079562,0.4117647058823529,0.2801466381867323,0.3997618102421595,0.2474617113017148,0.4019417475728155
inter-1115181610,0.2712851839984198,0.3954124259456175,0.2746923518132002,0.394283858395583,0.2219173265786077,0.4117647058823529,0.2790983496557319,0.3959904724096864,0.2454840651754132,0.3928802588996763
inter-1115181519,0.2928854639847201,0.4242746468175604,0.2967077230136258,0.4246508606690484,0.2375031790435335,0.4188235294117647,0.2992942986400131,0.4229853116315998,0.2717368802950061,0.427831715210356
inter-1115180902,0.2921693388023271,0.42731277533039647,0.29644117060820013,0.4272491068528743,0.230273008777459,0.42823529411764705,0.29861284498593876,0.42358078602620086,0.2708793318695659,0.4388349514563107
